row  column  (images_28.edf Mn-K*images_28.edf Ar-K**2.3)
4  85  6.11512e+06
4  86  1.12373e+07
4  87  6.28079e+06
4  88  7.06999e+06
4  89  7.40801e+06
4  90  8.65703e+05
4  91  4.24373e+06
4  92  4.85187e+06
4  93  6.53800e+06
4  94  9.19428e+06
4  95  7.78640e+06
4  96  6.54419e+06
4  97  4.39582e+06
4  98  6.11473e+06
4  99  6.26846e+06
4  100  7.95994e+06
4  101  3.78281e+06
4  102  1.05807e+07
4  103  8.04207e+06
4  104  6.02495e+06
4  105  9.43023e+06
4  106  7.36305e+06
4  107  1.31602e+07
4  108  9.28608e+06
4  109  2.92711e+06
4  110  9.19444e+06
4  111  1.00581e+07
4  112  3.11191e+05
4  113  9.16934e+06
4  114  8.72222e+06
4  115  0
4  116  0
4  117  0
4  118  6.50458e+05
4  119  1.87342e+06
4  120  0
5  0  5.21734e+06
5  1  7.16698e+06
5  2  6.52617e+06
5  3  9.09539e+06
5  4  8.86208e+06
5  5  4.57456e+06
5  6  4.77401e+06
5  7  4.38112e+06
5  8  3.73677e+06
5  9  4.69778e+06
5  10  3.70405e+06
5  11  7.60891e+06
5  12  4.34640e+06
5  13  4.83481e+06
5  14  4.86674e+06
5  15  6.73428e+06
5  16  6.97353e+06
5  17  6.46554e+06
5  18  5.25244e+06
5  19  7.54957e+06
5  20  6.43949e+06
5  21  7.39132e+06
5  22  5.24347e+06
5  23  7.25281e+06
5  24  4.85413e+06
5  25  5.02201e+06
5  26  8.27947e+06
5  27  6.54580e+06
5  28  5.15927e+06
5  29  2.77812e+06
5  30  5.31011e+06
5  31  6.16852e+06
5  32  7.87355e+06
5  33  4.19569e+06
5  34  8.08960e+06
5  35  7.29689e+06
5  36  7.10692e+06
5  37  3.76618e+06
5  38  2.86328e+06
5  39  4.16725e+06
5  40  6.89117e+06
5  41  5.64511e+06
5  42  6.53720e+06
5  43  1.20482e+07
5  44  3.57125e+06
5  45  8.02355e+06
5  46  5.57667e+06
5  47  6.93592e+06
5  48  7.37439e+06
5  49  8.11189e+06
5  50  6.66471e+06
5  51  6.41121e+06
5  52  8.75727e+06
5  53  8.07388e+06
5  54  5.99609e+06
5  55  7.65401e+06
5  56  5.03446e+06
5  57  6.67092e+06
5  58  1.19004e+07
5  59  5.65080e+06
5  60  9.25457e+06
5  61  6.49082e+06
5  62  7.70781e+06
5  63  8.68759e+06
5  64  1.08796e+07
5  65  7.61899e+06
5  66  5.94578e+06
5  67  4.80963e+06
5  68  2.78509e+06
5  69  5.11483e+06
5  70  4.37296e+06
5  71  8.96661e+06
5  72  3.71044e+06
5  73  5.86974e+06
5  74  9.69610e+06
5  75  7.58073e+06
5  76  9.22755e+06
5  77  9.86914e+06
5  78  3.54911e+06
5  79  7.13927e+06
5  80  2.31762e+06
5  81  4.65379e+06
5  82  7.07158e+06
5  83  7.25868e+06
5  84  1.25543e+07
5  85  5.32036e+06
5  86  9.88079e+06
5  87  5.98693e+06
5  88  2.52506e+06
5  89  4.68799e+06
5  90  9.90143e+06
5  91  1.01086e+07
5  92  5.92834e+06
5  93  3.76408e+06
5  94  5.07447e+06
5  95  1.08634e+07
5  96  5.71894e+06
5  97  6.80677e+06
5  98  9.89494e+06
5  99  8.62801e+06
5  100  5.43578e+06
5  101  7.26195e+06
5  102  2.54387e+06
5  103  7.07876e+06
5  104  8.30652e+06
5  105  1.04699e+07
5  106  1.03638e+07
5  107  6.26859e+06
5  108  9.71435e+06
5  109  1.22471e+07
5  110  7.27935e+06
5  111  5.66625e+06
5  112  6.38733e+06
5  113  2.96746e+06
5  114  3.71741e+06
5  115  2.23504e+06
5  116  0
5  117  0
5  118  0
5  119  0
5  120  3.72755e+06
6  0  7.24567e+06
6  1  9.10721e+06
6  2  5.96353e+06
6  3  4.04277e+06
6  4  5.32276e+06
6  5  5.18156e+06
6  6  8.75396e+06
6  7  4.77424e+06
6  8  4.65534e+06
6  9  5.54311e+06
6  10  6.28000e+06
6  11  7.95186e+06
6  12  6.47152e+06
6  13  5.34251e+06
6  14  4.76154e+06
6  15  3.55398e+06
6  16  4.38995e+06
6  17  5.12853e+06
6  18  6.35380e+06
6  19  9.74551e+06
6  20  9.26629e+06
6  21  7.51496e+06
6  22  6.86022e+06
6  23  1.09125e+07
6  24  1.01354e+07
6  25  6.30649e+06
6  26  7.94728e+06
6  27  5.69212e+06
6  28  4.63544e+06
6  29  6.53696e+06
6  30  6.28800e+06
6  31  8.21308e+06
6  32  6.56460e+06
6  33  9.12016e+06
6  34  3.11205e+06
6  35  5.03953e+06
6  36  5.55144e+06
6  37  6.56768e+06
6  38  3.80241e+06
6  39  1.16240e+07
6  40  4.92178e+06
6  41  8.60548e+06
6  42  7.61529e+06
6  43  5.02619e+06
6  44  1.15887e+07
6  45  8.64506e+06
6  46  5.77611e+06
6  47  5.57933e+06
6  48  6.26456e+06
6  49  4.03968e+05
6  50  6.59348e+06
6  51  5.71032e+06
6  52  8.36828e+06
6  53  8.54735e+06
6  54  3.91626e+06
6  55  5.48882e+06
6  56  6.22520e+06
6  57  7.56365e+06
6  58  9.88910e+06
6  59  9.09931e+06
6  60  9.03174e+06
6  61  9.19202e+06
6  62  8.04933e+06
6  63  8.12184e+06
6  64  3.52141e+06
6  65  5.50206e+06
6  66  3.68707e+06
6  67  3.09070e+06
6  68  2.33388e+06
6  69  3.47103e+06
6  70  6.72504e+06
6  71  5.20694e+06
6  72  1.25674e+07
6  73  3.91690e+06
6  74  6.74657e+06
6  75  1.07945e+07
6  76  7.51234e+06
6  77  6.03623e+06
6  78  5.16782e+06
6  79  8.15949e+06
6  80  8.77716e+06
6  81  1.05481e+07
6  82  2.41647e+06
6  83  8.35436e+06
6  84  6.82266e+06
6  85  7.79862e+06
6  86  5.29939e+06
6  87  5.13346e+06
6  88  9.95304e+06
6  89  1.06451e+07
6  90  7.79815e+06
6  91  7.54813e+06
6  92  5.81915e+06
6  93  9.23806e+06
6  94  6.61933e+06
6  95  8.64812e+06
6  96  7.45162e+06
6  97  6.99223e+06
6  98  6.44721e+06
6  99  5.34880e+06
6  100  7.81588e+06
6  101  6.10250e+06
6  102  6.15213e+06
6  103  1.13987e+07
6  104  1.01743e+07
6  105  7.35499e+06
6  106  6.70171e+06
6  107  9.35041e+06
6  108  5.56385e+06
6  109  9.45933e+06
6  110  2.60077e+06
6  111  5.40576e+06
6  112  1.35603e+07
6  113  1.21921e+07
6  114  0
6  115  8.04832e+06
6  116  2.39042e+06
6  117  2.06654e+06
6  118  0
6  119  0
6  120  8.26630e+06
7  0  5.47092e+06
7  1  6.02868e+06
7  2  6.92375e+06
7  3  4.29889e+06
7  4  8.19748e+06
7  5  6.00056e+06
7  6  4.12748e+06
7  7  3.16864e+06
7  8  5.18385e+06
7  9  5.60168e+06
7  10  8.14846e+06
7  11  3.33919e+06
7  12  6.05131e+06
7  13  5.67883e+06
7  14  7.32181e+06
7  15  4.06881e+06
7  16  8.55927e+06
7  17  5.01833e+06
7  18  8.25552e+06
7  19  7.53093e+06
7  20  6.26611e+06
7  21  9.37855e+06
7  22  8.73316e+06
7  23  4.55822e+06
7  24  8.38307e+06
7  25  7.31592e+06
7  26  6.44898e+06
7  27  4.36733e+06
7  28  4.56872e+06
7  29  8.60368e+06
7  30  4.35631e+06
7  31  5.15698e+06
7  32  8.16439e+06
7  33  1.02309e+07
7  34  9.16763e+06
7  35  8.28526e+06
7  36  5.63278e+06
7  37  7.52288e+06
7  38  5.76454e+06
7  39  5.38659e+06
7  40  3.83721e+06
7  41  1.28707e+07
7  42  7.35198e+06
7  43  5.20731e+06
7  44  5.61505e+06
7  45  5.01323e+06
7  46  8.32553e+06
7  47  3.95390e+06
7  48  1.09078e+07
7  49  7.43436e+06
7  50  7.11504e+06
7  51  7.27561e+06
7  52  6.93361e+06
7  53  6.59106e+06
7  54  8.06874e+06
7  55  8.87849e+06
7  56  6.63484e+06
7  57  6.01896e+06
7  58  9.11822e+06
7  59  7.07840e+06
7  60  4.43500e+06
7  61  8.13532e+06
7  62  1.09455e+07
7  63  4.53976e+06
7  64  5.67359e+06
7  65  1.16393e+07
7  66  7.77811e+06
7  67  0
7  68  0
7  69  5.84411e+06
7  70  6.98326e+06
7  71  9.87449e+06
7  72  5.50878e+06
7  73  5.79158e+06
7  74  5.32777e+06
7  75  5.30660e+06
7  76  7.30599e+06
7  77  8.10574e+06
7  78  8.15376e+06
7  79  9.19242e+06
7  80  7.65886e+06
7  81  1.23199e+07
7  82  5.33602e+06
7  83  1.07799e+07
7  84  1.07773e+07
7  85  7.41900e+06
7  86  5.25122e+06
7  87  4.86491e+06
7  88  5.58527e+06
7  89  5.46021e+06
7  90  7.22508e+06
7  91  4.47724e+06
7  92  4.99537e+06
7  93  5.36359e+06
7  94  6.92989e+06
7  95  1.14026e+07
7  96  1.04246e+07
7  97  6.85448e+06
7  98  8.92287e+06
7  99  3.95893e+06
7  100  8.59919e+06
7  101  7.09562e+06
7  102  5.44645e+06
7  103  6.21046e+06
7  104  8.63010e+06
7  105  7.22610e+06
7  106  5.63486e+06
7  107  1.13600e+07
7  108  1.05094e+07
7  109  7.60665e+06
7  110  6.51573e+06
7  111  7.41835e+06
7  112  7.85967e+06
7  113  1.01739e+07
7  114  1.00870e+07
7  115  3.02882e+06
7  116  0
7  117  1.95988e+06
7  118  0
7  119  6.27583e+06
7  120  0
8  0  9.31308e+06
8  1  5.08090e+06
8  2  4.74499e+06
8  3  3.32026e+06
8  4  6.25019e+06
8  5  6.64514e+06
8  6  5.06850e+06
8  7  5.21102e+06
8  8  5.54070e+06
8  9  6.17687e+06
8  10  7.71970e+06
8  11  4.75927e+06
8  12  5.43439e+06
8  13  4.77550e+06
8  14  4.35263e+06
8  15  6.20110e+06
8  16  3.04987e+06
8  17  6.97821e+06
8  18  6.36755e+06
8  19  8.76493e+06
8  20  6.21780e+06
8  21  4.36099e+06
8  22  7.68895e+06
8  23  1.09166e+07
8  24  5.50472e+06
8  25  6.09850e+06
8  26  8.20740e+06
8  27  5.13201e+06
8  28  4.78529e+06
8  29  5.68186e+06
8  30  7.18465e+06
8  31  7.73241e+06
8  32  4.39492e+06
8  33  5.28051e+06
8  34  5.11994e+06
8  35  6.85519e+06
8  36  6.73215e+06
8  37  9.10508e+06
8  38  6.27158e+06
8  39  2.71044e+06
8  40  6.68471e+06
8  41  8.02586e+06
8  42  6.38678e+06
8  43  3.82485e+06
8  44  7.11186e+06
8  45  2.92937e+06
8  46  2.62504e+06
8  47  7.14544e+06
8  48  8.07121e+06
8  49  8.95355e+06
8  50  9.23557e+06
8  51  9.71913e+06
8  52  8.06182e+06
8  53  6.79678e+06
8  54  1.08255e+07
8  55  7.19500e+06
8  56  4.93727e+06
8  57  6.01253e+06
8  58  9.45287e+06
8  59  7.80193e+06
8  60  7.64410e+06
8  61  5.62414e+06
8  62  5.79962e+06
8  63  1.03389e+07
8  64  5.28416e+06
8  65  5.38110e+06
8  66  3.76740e+06
8  67  5.05159e+06
8  68  0
8  69  6.23155e+06
8  70  9.22316e+06
8  71  8.46702e+06
8  72  9.42253e+06
8  73  7.22417e+06
8  74  1.03179e+07
8  75  9.26596e+06
8  76  9.38318e+06
8  77  4.25073e+06
8  78  1.04247e+07
8  79  5.78247e+06
8  80  8.27324e+06
8  81  1.07371e+07
8  82  6.19906e+06
8  83  6.43652e+06
8  84  4.57418e+06
8  85  6.44768e+06
8  86  8.37124e+06
8  87  5.23315e+06
8  88  8.53846e+06
8  89  8.68537e+06
8  90  1.01014e+07
8  91  4.33991e+06
8  92  4.75492e+06
8  93  9.20607e+06
8  94  9.66135e+06
8  95  5.04808e+06
8  96  1.09174e+07
8  97  2.79897e+06
8  98  3.03014e+06
8  99  5.69752e+06
8  100  1.35397e+06
8  101  3.72712e+06
8  102  7.00027e+06
8  103  9.85584e+06
8  104  9.03267e+06
8  105  4.44037e+06
8  106  2.27028e+06
8  107  8.27674e+06
8  108  8.89482e+06
8  109  8.44986e+06
8  110  1.03036e+07
8  111  5.78618e+06
8  112  9.81061e+06
8  113  9.03642e+06
8  114  5.35159e+06
8  115  5.21711e+06
8  116  0
8  117  3.61862e+06
8  118  0
8  119  0
8  120  1.12042e+06
9  0  5.04146e+06
9  1  4.97541e+06
9  2  5.60132e+06
9  3  5.25805e+06
9  4  8.92554e+06
9  5  7.16908e+06
9  6  4.38040e+06
9  7  5.62387e+06
9  8  2.61170e+06
9  9  5.18273e+06
9  10  6.95482e+06
9  11  5.02638e+06
9  12  5.41842e+06
9  13  6.38227e+06
9  14  4.06842e+06
9  15  7.59072e+06
9  16  3.75429e+06
9  17  5.19216e+06
9  18  5.00303e+06
9  19  2.77244e+06
9  20  5.61986e+06
9  21  6.29292e+06
9  22  7.72709e+06
9  23  8.19464e+06
9  24  8.51366e+06
9  25  4.55289e+06
9  26  3.06771e+06
9  27  4.04791e+06
9  28  9.53841e+06
9  29  5.47102e+06
9  30  4.50220e+06
9  31  4.06005e+06
9  32  5.45961e+06
9  33  4.96824e+06
9  34  7.69363e+06
9  35  8.03314e+06
9  36  1.01520e+07
9  37  9.95071e+06
9  38  7.73938e+06
9  39  8.09393e+06
9  40  1.01175e+07
9  41  8.90634e+06
9  42  5.31256e+06
9  43  5.75581e+06
9  44  7.11925e+06
9  45  8.45282e+06
9  46  4.45007e+06
9  47  7.97041e+06
9  48  6.73341e+06
9  49  7.21890e+06
9  50  7.32730e+06
9  51  6.54043e+06
9  52  8.56204e+06
9  53  9.21565e+06
9  54  8.81003e+06
9  55  2.80599e+06
9  56  7.67860e+06
9  57  1.02407e+07
9  58  9.34670e+06
9  59  7.45072e+06
9  60  7.31693e+06
9  61  5.82318e+06
9  62  1.00548e+07
9  63  7.77793e+06
9  64  6.32799e+06
9  65  6.92633e+06
9  66  8.58009e+05
9  67  3.18881e+06
9  68  1.27872e+06
9  69  7.97768e+06
